SESSION_ID,EVENT_ID,EVENT_TIMESTAMP,PAGE_URL,PUBLISHER_ORDER_ID,ML_MODEL,WIDGET_TYPE,CONV_ORDER_ID,EVENT_CREATED_AT,CUSTOMER_TYPE,EVENT_CLASSIFICATION,DAYS_TO_ATTRIBUTION,DISCOUNT_CODES,EVENT_ORDER_ID_MATCH,IP_MATCH,USER_AGENT_MATCH
3049e5ff-053b-424f-a4e0-f107213db74b,9c5675ea-4489-4fc5-9560-2f2d9aa0fb6c,2024-03-12T22:32:56.502Z,https://thisisneeded.com/checkouts/co/2075a9045389a2c5fc0c43f07c30555e/thank_you,,bert4recs1,DISCOFEED,5244574728252,2024-03-12T22:32:56.502Z,returning,display,5,ABG,FALSE,TRUE,FALSE
b2929943-4ca2-4c26-996c-00135ea194bc,77bd0628-db28-47cb-af3c-36ecd570b4f8,2024-03-12T23:39:34.818Z,https://thisisneeded.com/19532939328/orders/5e946e11fb5f4edd8e6a377cf0ccf950,,bert4recs1,DISCOFEED,5245673570364,2024-03-12T23:39:34.818Z,new,display,6,LUCKY20,FALSE,TRUE,TRUE
4cc67f1b-6e3a-40df-a281-9429eafc403f,e99914e7-ac6f-4645-ba70-fc1e1a595042,2024-03-12T23:23:17.998Z,https://maverickandco.co/checkouts/cn/29b1d3548f709d1eda639d8b35fc9189/thank_you,,bert4recs1,DISCOFEED,5242619134012,2024-03-12T23:23:17.998Z,returning,display,3,LUCKY20,FALSE,TRUE,FALSE
0be83fba-c6e0-400d-913b-68501874b644,03e7f86f-7da0-4046-aa12-52affe1bb713,2024-03-12T23:58:08.877Z,https://babytula.com/checkouts/co/2eb460df51c2a001a32326ebf8caa766/thank_you,,bert4recs1,DISCOFEED,5243081359420,2024-03-12T23:58:08.877Z,returning,display,3,LUCKY20,FALSE,FALSE,TRUE
50a79c47-5a37-4615-8da3-3285bf9e5e79,694151f7-621e-49ee-9689-0c7fe139d57c,2024-03-09T17:07:56.76Z,https://primallypure.com/8746120/orders/022db96fd004bf37c322c88f519f27ce,,bert4recs1,DISCOFEED,5244197601340,2024-03-09T17:07:56.76Z,new,display,7,SAMANTHA20,FALSE,FALSE,FALSE
9282bd88-b5cb-46da-9c6b-052748df0bfb,22afa7b8-a042-4552-9617-4973d1ec1019,2024-03-09T21:47:26.949Z,https://tubbytodd.com/checkouts/cn/2e2e46393aabd08ed82f30c899ceee5d/thank_you,,bert4recs1,DISCOFEED,5243443871804,2024-03-09T21:47:26.949Z,returning,display,7,LUCKY20,FALSE,TRUE,FALSE
e0436e5d-4e96-4dbc-89fe-225ba617a563,a85ad4d6-0f7e-434b-bd75-e7df19ede101,2024-03-10T15:46:08.301Z,https://checkout.iliabeauty.com/checkouts/co/20058435bf7890eddb67f22f6afc0564/thank_you,,bert4recs1,DISCOFEED,5245451993148,2024-03-10T15:46:08.301Z,returning,display,7,LUCKY20,FALSE,TRUE,FALSE
6ef8e4dc-00c6-416a-8613-423a7903ec04,0a2f7a20-ae27-41d4-91a3-d0ab008fa76f,2024-03-10T16:23:25.03Z,https://tubbytodd.com/checkouts/cn/b90310452d9c5879cf6ccfc3b67fa65b/thank_you,,bert4recs1,DISCOFEED,5245200695356,2024-03-10T16:23:25.03Z,new,display,7,LUCKY20,FALSE,FALSE,TRUE
41fc9092-1461-4155-9d38-46e37332905f,74763c0e-7dac-4060-be72-4fdd3f2aeafd,2024-03-10T16:19:34.98Z,https://itsbodily.com/checkouts/cn/804da27d5f86390ae12550a77a6608a9/thank_you,,bert4recs1,DISCOFEED,5244305965116,2024-03-10T16:19:34.98Z,new,display,6,LUCKY20,FALSE,TRUE,TRUE
9b8a209a-d424-46a5-9cb8-8e17fa7c3ef4,d9565035-6a16-43de-b210-15ed2ce23c4f,2024-03-13T20:06:48.971Z,https://tubbytodd.com/2875564/orders/9b010d2036a879f2e4c5eb475ce5c812,,bert4recs1,DISCOFEED,5245743726652,2024-03-13T20:06:48.971Z,new,display,5,DIMARYSM20,FALSE,TRUE,TRUE
